Codigo,Grupo,Partido,E1E2,Equipo,Equipo_gsub,GolesFavor_real,GolesContra_real,Pts_real,DiferenciaGoles_real,Ganado_real,Perdido_real,Empate_real,status_juego
A_p1_e2,A,p1,e1,Rusia,Rusia,5,0,3,0,1,0,0,terminado
A_p1_e2,A,p1,e2,Arabia S,Arabia S,0,5,0,0,0,1,0,terminado
A_p2_e2,A,p2,e1,Egipto,Egipto,0,1,0,0,0,1,0,terminado
A_p2_e2,A,p2,e2,Uruguay,Uruguay,1,0,3,0,1,0,0,terminado
A_p3_e2,A,p3,e1,Rusia,Rusia,0,0,0,0,0,0,0,por_jugar
A_p3_e2,A,p3,e2,Egipto,Egipto,0,0,0,0,0,0,0,por_jugar
A_p4_e2,A,p4,e1,Uruguay,Uruguay,0,0,0,0,0,0,0,por_jugar
A_p4_e2,A,p4,e2,Arabia S,Arabia S,0,0,0,0,0,0,0,por_jugar
A_p5_e2,A,p5,e1,Uruguay,Uruguay,0,0,0,0,0,0,0,por_jugar
A_p5_e2,A,p5,e2,Rusia,Rusia,0,0,0,0,0,0,0,por_jugar
A_p6_e2,A,p6,e1,Arabia S,Arabia S,0,0,0,0,0,0,0,por_jugar
A_p6_e2,A,p6,e2,Egipto,Egipto,0,0,0,0,0,0,0,por_jugar
B_p1_e2,B,p1,e1,Marruecos,Marruecos,0,1,0,0,0,1,0,terminado
B_p1_e2,B,p1,e2,Ir錐n,Iran,1,0,0,0,1,0,0,terminado
B_p2_e2,B,p2,e1,Portugal,Portugal,3,3,0,0,0,0,1,terminado
B_p2_e2,B,p2,e2,Espa棲a,Espana,3,3,0,0,0,0,1,terminado
B_p3_e2,B,p3,e1,Portugal,Portugal,0,0,0,0,0,0,0,por_jugar
B_p3_e2,B,p3,e2,Marruecos,Marruecos,0,0,0,0,0,0,0,por_jugar
B_p4_e2,B,p4,e1,Ir錐n,Iran,0,0,0,0,0,0,0,por_jugar
B_p4_e2,B,p4,e2,Espa棲a,Espana,0,0,0,0,0,0,0,por_jugar
B_p5_e2,B,p5,e1,Ir錐n,Iran,0,0,0,0,0,0,0,por_jugar
B_p5_e2,B,p5,e2,Portugal,Portugal,0,0,0,0,0,0,0,por_jugar
B_p6_e2,B,p6,e1,Espa棲a,Espana,0,0,0,0,0,0,0,por_jugar
B_p6_e2,B,p6,e2,Marruecos,Marruecos,0,0,0,0,0,0,0,por_jugar
C_p1_e2,C,p1,e1,Francia,Francia,2,1,0,0,1,0,0,jugando
C_p1_e2,C,p1,e2,Australia,Australia,1,2,0,0,0,1,0,jugando
C_p2_e2,C,p2,e1,Per神,Peru,0,0,0,0,0,0,1,jugando
C_p2_e2,C,p2,e2,Dinamarca,Dinamarca,0,0,0,0,0,0,1,jugando
C_p3_e2,C,p3,e1,Dinamarca,Dinamarca,0,0,0,0,0,0,0,por_jugar
C_p3_e2,C,p3,e2,Australia,Australia,0,0,0,0,0,0,0,por_jugar
C_p4_e2,C,p4,e1,Francia,Francia,0,0,0,0,0,0,0,por_jugar
C_p4_e2,C,p4,e2,Per神,Peru,0,0,0,0,0,0,0,por_jugar
C_p5_e2,C,p5,e1,Dinamarca,Dinamarca,0,0,0,0,0,0,0,por_jugar
C_p5_e2,C,p5,e2,Francia,Francia,0,0,0,0,0,0,0,por_jugar
C_p6_e2,C,p6,e1,Australia,Australia,0,0,0,0,0,0,0,por_jugar
C_p6_e2,C,p6,e2,Per神,Peru,0,0,0,0,0,0,0,por_jugar
D_p1_e2,D,p1,e1,Argentina,Argentina,1,1,0,0,0,0,1,jugando
D_p1_e2,D,p1,e2,Islandia,Islandia,1,1,0,0,0,0,1,jugando
D_p2_e2,D,p2,e1,Croacia,Croacia,0,0,0,0,0,0,0,jugando
D_p2_e2,D,p2,e2,Nigeria,Nigeria,0,0,0,0,0,0,0,jugando
D_p3_e2,D,p3,e1,Argentina,Argentina,0,0,0,0,0,0,0,por_jugar
D_p3_e2,D,p3,e2,Croacia,Croacia,0,0,0,0,0,0,0,por_jugar
D_p4_e2,D,p4,e1,Nigeria,Nigeria,0,0,0,0,0,0,0,por_jugar
D_p4_e2,D,p4,e2,Islandia,Islandia,0,0,0,0,0,0,0,por_jugar
D_p5_e2,D,p5,e1,Nigeria,Nigeria,0,0,0,0,0,0,0,por_jugar
D_p5_e2,D,p5,e2,Argentina,Argentina,0,0,0,0,0,0,0,por_jugar
D_p6_e2,D,p6,e1,Islandia,Islandia,0,0,0,0,0,0,0,por_jugar
D_p6_e2,D,p6,e2,Croacia,Croacia,0,0,0,0,0,0,0,por_jugar
E_p1_e2,E,p1,e1,Costa R,Costa R,0,0,0,0,0,0,0,por_jugar
E_p1_e2,E,p1,e2,Serbia,Serbia,0,0,0,0,0,0,0,por_jugar
E_p2_e2,E,p2,e1,Brasil,Brasil,0,0,0,0,0,0,0,por_jugar
E_p2_e2,E,p2,e2,Suiza,Suiza,0,0,0,0,0,0,0,por_jugar
E_p3_e2,E,p3,e1,Brasil,Brasil,0,0,0,0,0,0,0,por_jugar
E_p3_e2,E,p3,e2,Costa R,Costa R,0,0,0,0,0,0,0,por_jugar
E_p4_e2,E,p4,e1,Serbia,Serbia,0,0,0,0,0,0,0,por_jugar
E_p4_e2,E,p4,e2,Suiza,Suiza,0,0,0,0,0,0,0,por_jugar
E_p5_e2,E,p5,e1,Serbia,Serbia,0,0,0,0,0,0,0,por_jugar
E_p5_e2,E,p5,e2,Brasil,Brasil,0,0,0,0,0,0,0,por_jugar
E_p6_e2,E,p6,e1,Suiza,Suiza,0,0,0,0,0,0,0,por_jugar
E_p6_e2,E,p6,e2,Costa R,Costa R,0,0,0,0,0,0,0,por_jugar
F_p1_e2,F,p1,e1,Alemania,Alemania,0,0,0,0,0,0,0,por_jugar
F_p1_e2,F,p1,e2,M姓xico,Mexico,0,0,0,0,0,0,0,por_jugar
F_p2_e2,F,p2,e1,Suecia,Suecia,0,0,0,0,0,0,0,por_jugar
F_p2_e2,F,p2,e2,Corea S,Corea S,0,0,0,0,0,0,0,por_jugar
F_p3_e2,F,p3,e1,Corea S,Corea S,0,0,0,0,0,0,0,por_jugar
F_p3_e2,F,p3,e2,M姓xico,Mexico,0,0,0,0,0,0,0,por_jugar
F_p4_e2,F,p4,e1,Alemania,Alemania,0,0,0,0,0,0,0,por_jugar
